"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\TableColumn.jsx", "JavaScript JSX", 0, -257, 0, 0, -37, -294
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\Material.module.css", "CSS", 0, 0, -76, -4, -6, -86
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialGroupList.module.css", "CSS", 0, 0, -39, 0, -3, -42
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialItem.module.css", "CSS", 0, 0, -19, 0, -2, -21
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialItemDetails.module.css", "CSS", 0, 0, -23, 0, -2, -25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialList.module.css", "CSS", 0, 0, -116, -4, -19, -139
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialModal.module.css", "CSS", 0, 0, -113, -4, -8, -125
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\Result.module.css", "CSS", 0, 0, -3, 0, -1, -4
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\TableColumn.module.css", "CSS", 0, 0, -27, 0, -4, -31
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calcualteTotalPrice.js", "JavaScript", -4, 0, 0, 0, -1, -5
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calcualteVolume.js", "JavaScript", -13, 0, 0, 0, -1, -14
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calculatePrice.js", "JavaScript", -4, 0, 0, 0, -1, -5
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calculateWeight.js", "JavaScript", -4, 0, 0, 0, -1, -5
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\materialList.js", "JavaScript", -110, 0, 0, 0, -1, -111
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\materialManager.js", "JavaScript", -161, 0, 0, 0, -9, -170
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\materialGroupValidationSchema.js", "JavaScript", -24, 0, 0, 0, -3, -27
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\plateValidationSchema.js", "JavaScript", -18, 0, 0, 0, -2, -20
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\rodValidationSchema.js", "JavaScript", -23, 0, 0, 0, -2, -25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\tubeValidationSchema.js", "JavaScript", -27, 0, 0, 0, -2, -29
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\navSidebar\NavSidebar.jsx", "JavaScript JSX", 0, -102, 0, -2, -4, -108
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\navSidebar\NavSidebar.module.css", "CSS", 0, 0, -92, -5, -13, -110
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\OrderItem.jsx", "JavaScript JSX", 0, -543, 0, -4, -27, -574
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\OrderList.jsx", "JavaScript JSX", 0, -85, 0, 0, -6, -91
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\OrderTable.jsx", "JavaScript JSX", 0, -185, 0, 0, -22, -207
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\css\OrderItem.module.css", "CSS", 0, 0, -130, 0, -7, -137
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\css\OrderList.module.css", "CSS", 0, 0, -7, 0, -1, -8
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\css\OrderTable.module.css", "CSS", 0, 0, -148, -4, -15, -167
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\service\orderManager.js", "JavaScript", -108, 0, 0, -2, -4, -114
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\service\validationSchema\orderItemValidationSchema.js", "JavaScript", -4, 0, 0, 0, -2, -6
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\RecycleItem.jsx", "JavaScript JSX", 0, -272, 0, 0, -17, -289
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\RecycleList.jsx", "JavaScript JSX", 0, -94, 0, 0, -5, -99
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\WTCList.jsx", "JavaScript JSX", 0, -155, 0, 0, -19, -174
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\css\RecycleItem.module.css", "CSS", 0, 0, -73, 0, -8, -81
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\css\RecycleList.module.css", "CSS", 0, 0, -6, 0, -1, -7
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\css\WTCList.module.css", "CSS", 0, 0, -96, -4, -12, -112
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\service\recycleManager.js", "JavaScript", -58, 0, 0, 0, -4, -62
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\service\validationSchema\recycleValidationSchema.js", "JavaScript", -7, 0, 0, 0, -2, -9
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\service\validationSchema\wasteValidationSchema.js", "JavaScript", -9, 0, 0, 0, -2, -11
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\Contact.jsx", "JavaScript JSX", 0, -36, 0, 0, -3, -39
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\DepartmentCost.jsx", "JavaScript JSX", 0, -264, 0, 0, -7, -271
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\Settings.jsx", "JavaScript JSX", 0, -82, 0, 0, -10, -92
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\User.jsx", "JavaScript JSX", 0, -95, 0, 0, -12, -107
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\UserDetails.jsx", "JavaScript JSX", 0, -182, 0, 0, -9, -191
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\UserList.jsx", "JavaScript JSX", 0, -85, 0, 0, -5, -90
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\UserModal.jsx", "JavaScript JSX", 0, -191, 0, 0, -8, -199
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\Contact.module.css", "CSS", 0, 0, -81, 0, -7, -88
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\DepartmentCost.module.css", "CSS", 0, 0, -36, 0, -1, -37
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\Settings.module.css", "CSS", 0, 0, -10, 0, -2, -12
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\User.module.css", "CSS", 0, 0, -74, 0, -5, -79
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\UserDetails.module.css", "CSS", 0, 0, -85, 0, -8, -93
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\UserList.module.css", "CSS", 0, 0, -11, 0, -2, -13
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\UserModal.module.css", "CSS", 0, 0, -56, -4, -5, -65
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\departmentCostManager.js", "JavaScript", -31, 0, 0, 0, -4, -35
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\userManager.js", "JavaScript", -68, 0, 0, -1, -5, -74
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\validationSchema\departmentCostValidationSchema.js", "JavaScript", -13, 0, 0, 0, -2, -15
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\validationSchema\userModalValidationSchema.js", "JavaScript", -18, 0, 0, 0, -2, -20
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\validationSchema\userUpdateModalValidationSchema.js", "JavaScript", -11, 0, 0, 0, -2, -13
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\validationSchema\userValidationSchema.js", "JavaScript", -11, 0, 0, 0, -2, -13
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\SupplierForm.jsx", "JavaScript JSX", 0, -307, 0, 0, -10, -317
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\SupplierItem.jsx", "JavaScript JSX", 0, -66, 0, 0, -7, -73
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\SupplierList.jsx", "JavaScript JSX", 0, -98, 0, 0, -5, -103
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\css\SupplierForm.module.css", "CSS", 0, 0, -178, 0, -16, -194
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\css\SupplierItem.module.css", "CSS", 0, 0, -86, 0, -6, -92
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\css\SupplierList.module.css", "CSS", 0, 0, -19, 0, -1, -20
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\service\supplierManager.js", "JavaScript", -60, 0, 0, 0, -4, -64
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\service\validationSchema\supplierValidationSchema.js", "JavaScript", -14, 0, 0, 0, -2, -16
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\Dimensions.jsx", "JavaScript JSX", 0, -61, 0, 0, -3, -64
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\GlobalFilter.jsx", "JavaScript JSX", 0, -21, 0, 0, -2, -23
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\Result.jsx", "JavaScript JSX", 0, -23, 0, 0, -2, -25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\TableColumn.jsx", "JavaScript JSX", 0, -93, 0, 0, -14, -107
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupItem.jsx", "JavaScript JSX", 0, -101, 0, 0, -6, -107
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupItemDetails.jsx", "JavaScript JSX", 0, -81, 0, 0, -7, -88
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupList.jsx", "JavaScript JSX", 0, -76, 0, 0, -3, -79
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupModal_ADD.jsx", "JavaScript JSX", 0, -137, 0, -1, -8, -146
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupModal_EDIT.jsx", "JavaScript JSX", 0, -92, 0, 0, -7, -99
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolList.jsx", "JavaScript JSX", 0, -209, 0, -3, -42, -254
